targetId,comparatorId,outcomeId,outcomeName,type
613,615,434165,Abnormal cervical smear,outcome
613,615,436409,Abnormal pupil,outcome
613,615,199192,Abrasion and/or friction burn of trunk without infection,outcome
613,615,4088290,Absence of breast,outcome
613,615,4092879,Absent kidney,outcome
613,615,436634,Acariasis,outcome
613,615,44783954,Acid reflux,outcome
613,615,75911,Acquired hallux valgus,outcome
613,615,137951,Acquired keratoderma,outcome
613,615,77965,Acquired trigger finger,outcome
613,615,376707,Acute conjunctivitis,outcome
613,615,4103640,Amputated foot,outcome
613,615,432595,Amyloidosis,outcome
613,615,73241,Anal and rectal polyp,outcome
613,615,437082,Ankylosing spondylitis,outcome
613,615,77650,Aseptic necrosis of bone,outcome
613,615,378424,Astigmatism,outcome
613,615,374923,Bell's palsy,outcome
613,615,4110709,Benign epithelial neoplasm of skin,outcome
613,615,133655,Burn of forearm,outcome
613,615,73560,Calcaneal spur,outcome
613,615,434327,Cannabis abuse,outcome
613,615,4213540,Cervical somatic dysfunction,outcome
613,615,381581,Chalazion,outcome
613,615,140842,Changes in skin texture,outcome
613,615,438531,Chondromalacia,outcome
613,615,81378,Chondromalacia of patella,outcome
613,615,432303,Cocaine abuse,outcome
613,615,4201390,Colostomy present,outcome
613,615,46269889,Complication due to Crohn's disease,outcome
613,615,134438,Contact dermatitis,outcome
613,615,78619,Contusion of knee,outcome
613,615,201606,Crohn's disease,outcome
613,615,260134,Croup,outcome
613,615,76786,Derangement of knee,outcome
613,615,443767,Diabetic oculopathy,outcome
613,615,4115402,Difficulty sleeping,outcome
613,615,45757370,Disproportion of reconstructed breast,outcome
613,615,433111,Effects of hunger,outcome
613,615,441589,Endocarditis,outcome
613,615,200775,Endometrial hyperplasia,outcome
613,615,433527,Endometriosis,outcome
613,615,73008,Enthesopathy,outcome
613,615,4249170,Epicondylitis,outcome
613,615,4170770,Epidermoid cyst,outcome
613,615,4345472,Epstein-Barr virus disease,outcome
613,615,4092896,Feces contents abnormal,outcome
613,615,259995,Foreign body in orifice,outcome
613,615,4050747,Fracture of upper limb,outcome
